 ,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3376768077,1,3,7,-37.810410499999996,144.98074540000002,-37.8618349,144.90571599999998,9342.0,2018-03-20,16:24:31,3152.34,17:17:03,24.5
ID3658029566,1,6,7,-37.7907967,144.985865,-37.8618349,144.90571599999998,11711.0,2018-01-06,11:04:38,3866.9400000000014,12:09:04,29.32
ID3511894555,1,3,8,-37.8285416,144.9863351,-37.8158343,145.04645,8387.0,2018-02-01,07:39:42,2365.6800000000007,8:19:07,15.46
ID5803650741,2,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-03-13,23:56:10,4911.5999999999985,1:18:01,313.77
ID1530206797,0,8,2,-37.8158343,145.04645,-37.8214747,144.9444227,9609.0,2018-02-23,11:39:47,2757.78,12:25:44,6.62
ID5889918896,2,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-07-17,01:05:57,4911.5999999999985,2:27:48,314.64
ID1153838517,0,6,2,-37.7907967,144.985865,-37.8178533,144.9461445,5612.0,2018-04-07,05:59:36,1520.4599999999996,6:24:56,17.11
ID1788960173,0,5,6,-37.808456400000004,144.93822169999999,-37.7907967,144.985865,6329.0,2018-02-15,22:25:40,1684.26,22:53:44,12.65
ID1221938466,0,1,3,-37.8093172,144.9340149,-37.8187585,144.98361699999998,5150.0,2018-06-18,08:53:36,1221.5400000000004,9:13:57,6.06
ID1262057852,0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-07-20,05:28:57,4917.479999999999,6:50:54,17.45
ID3598018819,1,8,7,-37.807202000000004,145.0266373,-37.8618349,144.90571599999998,13986.0,2018-02-11,05:04:39,4298.280000000002,6:16:17,42.99
ID1611998935,0,1,2,-37.8061313,144.9441981,-37.822191499999995,144.9476644,2160.0,2018-04-08,01:03:08,564.3600000000001,1:12:32,15.18
ID5218566671,2,6,2,-37.773845,144.9836895,-37.8147265,144.9457999,6245.0,2018-01-24,20:30:32,1372.14,20:53:24,99.72
ID3648916854,1,1,2,-37.8122054,144.9533103,-37.8156465,144.938578,1781.0,2018-01-13,05:11:24,408.36,5:18:12,22.08
ID3655618532,1,6,5,-37.7907967,144.985865,-37.8021441,144.9330592,6826.0,2018-02-10,23:10:07,1930.26,23:42:17,29.26
ID5355709338,2,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-05-13,03:20:24,12681.059999999998,6:51:45,772.66
ID3532604153,1,6,9,-37.773845,144.9836895,-38.1109156,144.65417250000002,48197.0,2018-06-28,03:46:24,11519.399999999998,6:58:23,71.82
ID5970140535,2,7,3,-37.8618349,144.90571599999998,-37.824397,144.98854630000002,9196.0,2018-02-08,06:43:40,3029.88,7:34:09,187.67
ID1597899918,0,6,2,-37.7874325,144.9803767,-37.817153399999995,144.9342226,6277.0,2018-02-01,04:18:41,1608.8399999999995,4:45:29,11.57
ID3381194133,1,8,6,-37.807202000000004,145.0266373,-37.7874325,144.9803767,5793.0,2018-02-19,12:13:12,1493.5200000000002,12:38:05,16.64
ID3538036418,1,3,7,-37.8145518,145.00464409999998,-37.8618349,144.90571599999998,11375.0,2018-03-09,22:16:58,3595.800000000001,23:16:53,32.87
ID1896203688,0,8,5,-37.8158343,145.04645,-37.805207,144.93288909999998,10270.0,2018-02-06,23:30:04,2913.479999999998,0:18:37,17.48
ID3988655351,1,8,1,-37.8158343,145.04645,-37.8111271,144.9583094,7911.0,2018-03-09,22:39:54,2254.92,23:17:28,26.77
